clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
13,7.92,13,0,0,01/04/1970 13:09,6,41,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",311.29
13,7.19,13,0,0,01/04/1970 13:09,6,44,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",311.29
13,7.14,13,0,0,01/04/1970 13:09,6,50,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",312.29
13,7.16,13,0,0,01/04/1970 13:09,6,55,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",310.29
11,6.21,13,0,0,01/04/1970 13:09,6,60,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",307.29
10,5.95,13,0,0,01/04/1970 13:09,6,63,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",306.29
13,5.41,13,0,0,01/04/1970 13:09,6,64,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",304.29
12,4.63,13,0,0,01/04/1970 13:09,6,66,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",303.29
11,4.87,13,0,0,01/04/1970 13:09,6,67,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",302.29
9,4.36,13,0,0,01/04/1970 13:09,6,65,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",302.29
14,3.8,13,0,0,01/04/1970 13:09,6,63,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
5,3.64,13,0,0,01/04/1970 13:09,6,64,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
11,3.27,13,0,0,01/04/1970 13:09,6,68,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
11,2.79,13,0,0,01/04/1970 13:09,6,70,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
12,2.15,13,0,0,01/04/1970 13:09,6,72,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
27,1.8,13,0,0,01/04/1970 13:09,6,74,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
68,1.41,13,0,0,01/04/1970 13:09,6,70,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
17,1.49,13,0,0,01/04/1970 13:09,6,62,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",301.29
14,1.09,13,0,0,01/04/1970 13:09,6,52,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",302.29
13,1.98,13,0,0,01/04/1970 13:09,6,45,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",304.29
12,3.55,13,0,0,01/04/1970 13:09,6,43,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",307.29
11,4.93,13,0,0,01/04/1970 13:09,6,42,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",308.29
11,6.19,13,0,0,01/04/1970 13:09,6,41,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",308.29
9,6.56,13,0,0,01/04/1970 13:09,6,41,"viirs_point_306583_2023-05-02 00:00:00_16.57832,96.10255",309.29
