clouds,wind_speed,hour_of_day,fire,rain,dt,day_of_week,humidity,viirs_point,temperature
100,5.06,13,0,0,01/04/1970 13:15,6,53,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",298.95
100,4.92,13,0,0,01/04/1970 13:15,6,52,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",298.75
100,5.85,13,0,0,01/04/1970 13:15,6,63,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",296.47
91,5.58,13,0,0,01/04/1970 13:15,6,69,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",295.13
74,4.71,13,0,0,01/04/1970 13:15,6,78,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",293.68
54,3.98,13,0,0,01/04/1970 13:15,6,82,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",292.98
0,3.54,13,0,0,01/04/1970 13:15,6,85,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",292.35
0,3.25,13,0,0,01/04/1970 13:15,6,88,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",291.85
0,2.88,13,0,0,01/04/1970 13:15,6,92,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",291.16
0,2.59,13,0,0,01/04/1970 13:15,6,96,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",290.58
5,2.29,13,0,0,01/04/1970 13:15,6,98,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",290.17
7,1.98,13,0,0,01/04/1970 13:15,6,98,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",289.78
47,1.93,13,0,0,01/04/1970 13:15,6,98,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",289.53
53,1.77,13,0,0,01/04/1970 13:15,6,97,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",289.54
54,1.6,13,0,0,01/04/1970 13:15,6,95,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",289.68
59,1.63,13,0,0,01/04/1970 13:15,6,92,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",290.1
63,1.69,13,0,0,01/04/1970 13:15,6,88,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",290.85
68,1.74,13,0,0,01/04/1970 13:15,6,82,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",292.1
100,1.53,13,0,0,01/04/1970 13:15,6,78,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",292.87
100,1.09,13,0,0,01/04/1970 13:15,6,71,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",294.01
98,0.79,13,0,0,01/04/1970 13:15,6,63,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",296.1
85,1.2,13,0,0,01/04/1970 13:15,6,51,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",299.07
72,2.21,13,0,0,01/04/1970 13:15,6,46,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",300.06
55,2.91,13,0,0,01/04/1970 13:15,6,41,"viirs_point_306902_2023-05-02 00:00:00_-24.92243,32.12093",301.52
